"id","date","symbol","open","high","low","close","volume","amount","adj_close"
495,2003-12-09,NEPSE,206.4,206.4,206.4,206.4,0.00000,0.00000,
494,2003-12-08,NEPSE,206.28,206.28,206.28,206.28,0.00000,0.00000,
493,2003-12-05,NEPSE,205.43,205.43,205.43,205.43,0.00000,0.00000,
492,2003-12-04,NEPSE,206.04,206.04,206.04,206.04,0.00000,0.00000,
491,2003-12-03,NEPSE,206.22,206.22,206.22,206.22,0.00000,0.00000,
490,2003-12-02,NEPSE,205.82,205.82,205.82,205.82,0.00000,0.00000,
489,2003-12-01,NEPSE,205.89,205.89,205.89,205.89,0.00000,0.00000,
488,2003-11-28,NEPSE,206.52,206.52,206.52,206.52,0.00000,0.00000,
487,2003-11-27,NEPSE,206.76,206.76,206.76,206.76,0.00000,0.00000,
486,2003-11-26,NEPSE,207.13,207.13,207.13,207.13,0.00000,0.00000,
485,2003-11-25,NEPSE,207.01,207.01,207.01,207.01,0.00000,0.00000,
484,2003-11-24,NEPSE,205.83,205.83,205.83,205.83,0.00000,0.00000,
483,2003-11-21,NEPSE,206.0,206.0,206.0,206.0,0.00000,0.00000,
482,2003-11-20,NEPSE,206.4,206.4,206.4,206.4,0.00000,0.00000,
481,2003-11-19,NEPSE,206.72,206.72,206.72,206.72,0.00000,0.00000,
480,2003-11-18,NEPSE,206.45,206.45,206.45,206.45,0.00000,0.00000,
479,2003-11-17,NEPSE,206.33,206.33,206.33,206.33,0.00000,0.00000,
478,2003-11-14,NEPSE,206.21,206.21,206.21,206.21,0.00000,0.00000,
477,2003-11-13,NEPSE,206.67,206.67,206.67,206.67,0.00000,0.00000,
476,2003-11-12,NEPSE,207.23,207.23,207.23,207.23,0.00000,0.00000,
475,2003-11-11,NEPSE,207.15,207.15,207.15,207.15,0.00000,0.00000,
474,2003-11-10,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
473,2003-11-07,NEPSE,207.28,207.28,207.28,207.28,0.00000,0.00000,
